"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_zp_data_40","Аномальні дані 40 (не налаштовано)","Anomaly data 40 (not configured)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)","Аномальні дані 40 (не налаштовано)",
"str_zp_data_40_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_41","Аномальні дані 41 (не налаштовано)","Anomaly data 41 (not configured)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)","Аномальні дані 41 (не налаштовано)",
"str_zp_data_41_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_42","Аномальні дані 42 (не налаштовано)","Anomaly data 42 (not configured)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)","Аномальні дані 42 (не налаштовано)",
"str_zp_data_42_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_43","Аномальні дані 43 (не налаштовано)","Anomaly data 43 (not configured)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)","Аномальні дані 43 (не налаштовано)",
"str_zp_data_43_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_44","Аномальні дані 44 (не налаштовано)","Anomaly data 44 (not configured)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)","Аномальні дані 44 (не налаштовано)",
"str_zp_data_44_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_45","Аномальні дані 45 (не налаштовано)","Anomaly data 45 (not configured)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)","Аномальні дані 45 (не налаштовано)",
"str_zp_data_45_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_46","Аномальні дані 46 (не налаштовано)","Anomaly data 46 (not configured)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)","Аномальні дані 46 (не налаштовано)",
"str_zp_data_46_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_47","Аномальні дані 47 (не налаштовано)","Anomaly data 47 (not configured)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)","Аномальні дані 47 (не налаштовано)",
"str_zp_data_47_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_48","Аномальні дані 48 (не налаштовано)","Anomaly data 48 (not configured)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)","Аномальні дані 48 (не налаштовано)",
"str_zp_data_48_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_49","Аномальні дані 49 (не налаштовано)","Anomaly data 49 (not configured)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)","Аномальні дані 49 (не налаштовано)",
"str_zp_data_49_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_50","Аномальні дані 50 (не налаштовано)","Anomaly data 50 (not configured)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)","Аномальні дані 50 (не налаштовано)",
"str_zp_data_50_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_51","Аномальні дані 51 (не налаштовано)","Anomaly data 51 (not configured)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)","Аномальні дані 51 (не налаштовано)",
"str_zp_data_51_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_52","Аномальні дані 52 (не налаштовано)","Anomaly data 52 (not configured)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)","Аномальні дані 52 (не налаштовано)",
"str_zp_data_52_desc","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of anomaly data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія даних про аномалії. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
